Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC,Doza_Adult,Doza_Copil,Simptome_combatute
ACC 200  PULBERE PENTRU SOLUTIE ORALA,ACETYLCYSTEINUM,PULB. PT. SOL. ORALA,200mg,HEXAL AG - GERMANIA,"Cutie x 20 plicuri unidoza PE-Al-hartie
continand 3 g pulb. pt. sol. orala - 4 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 200 mg,ACETYLCYSTEINUM,COMPR. EFF.,200mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu tuburi din PP cu dop din PE x
20 compr. eff. - 2 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 200 mg,ACETYLCYSTEINUM,COMPR. EFF.,200mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu
strat (PE-Al-hartie) x 20 compr. eff. - 3 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 200 mg,ACETYLCYSTEINUM,COMPR. EFF.,200mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu strat (PE-Al-hartie) x 40 compr. eff. - 3
ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 200 mg,ACETYLCYSTEINUM,COMPR. EFF.,200mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu strat (PE-Al-hartie) x 50 compr. eff. - 3
ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 200 mg,ACETYLCYSTEINUM,COMPR. EFF.,200mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu strat (PE-Al-hartie) x 80 compr. eff. - 3
ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 200 mg,ACETYLCYSTEINUM,COMPR. EFF.,200mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu strat (PE-Al-hartie) x 100 compr. eff. -
3 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 200 mg CAPSULE,ACETYLCYSTEINUM,CAPS.,200mg,HEXAL AG - GERMANIA,"Cutie x 2 blist. Al/PVC x 10 caps. - 3
ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 200 mg COMPRIMATE EVERVESCENTE,ACETYLCYSTEINUM,COMPR. EFF.,200mg,HEXAL AG - GERMANIA,"Cutie x 1 tub  din Al x 20 compr. eff. -
3 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 200 mg COMPRIMATE EVERVESCENTE,ACETYLCYSTEINUM,COMPR. EFF.,200mg,HEXAL AG - GERMANIA,Cutie x 1 tub din Al x 25 compr. eff. - 3,OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 200 mg COMPRIMATE EVERVESCENTE,ACETYLCYSTEINUM,COMPR. EFF.,200mg,HEXAL AG - GERMANIA,ani,,,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 600 mg,ACETYLCYSTEINUM,COMPR. EFF.,600mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu tuburi din PP cu dop din PE x 20 compr. eff. - 3 ani; dupa prima
deschidere a tubului-2 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 600 mg,ACETYLCYSTEINUM,COMPR. EFF.,600mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu tuburi din PP cu dop din PE x 30 compr. eff. - 3 ani; dupa prima
deschidere a tubului-2 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 600 mg,ACETYLCYSTEINUM,COMPR. EFF.,600mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu tuburi din PP cu dop din PE x 60 compr. eff. - 3 ani; dupa prima
deschidere a tubului-2 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 600 mg,ACETYLCYSTEINUM,COMPR. EFF.,600mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu strat (PE-Al-hartie) x 10 compr. eff. - 3
ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 600 mg,ACETYLCYSTEINUM,COMPR. EFF.,600mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu
strat (PE-Al-hartie) x 20 compr. eff. - 3 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 600 mg,ACETYLCYSTEINUM,COMPR. EFF.,600mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu
strat (PE-Al-hartie) x 30 compr. eff. - 3 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 600 mg,ACETYLCYSTEINUM,COMPR. EFF.,600mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu
strat (PE-Al-hartie) x 50 compr. eff. - 3 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC 600 mg,ACETYLCYSTEINUM,COMPR. EFF.,600mg,SANDOZ S.R.L. - ROMANIA,"Cutie cu plicuri sigilate din folie triplu strat (PE-Al-hartie) x 60 compr. eff. - 3
ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC JUNIOR 100 mg,ACETYLCYSTEINUM,"PULB. PT. SOL.
ORALA",100mg,HEXAL AG - GERMANIA,"Cutie x 20 plicuri unidoza PE-Al-hartie
x 3 g pulb. pt. sol. orala - 4 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC JUNIOR 20 mg/ml,ACETYLCYSTEINUM,SIROP,20mg/ml,HEXAL AG - GERMANIA,"Cutie cu un flac. din sticla bruna cu capacitatea de 110 ml închis cu un capac din PP. prevazut cu sistem de siguranta din PPJD a 100 ml sirop. o seringa din PP a 5 ml si o lingurita dozatoare din PP cu gradatii de 2.5  ml. 5 ml si 10 ml - 2 ani-dupa ambalarea pentru comercializare;dupa
prima deschidere a flac.-15 zile",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC JUNIOR 20 mg/ml,ACETYLCYSTEINUM,SIROP,20mg/ml,HEXAL AG - GERMANIA,"Cutie cu un flac. din sticla bruna cu capacitatea de 230 ml închis cu un
capac de PP. prevazut cu sistem de",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC JUNIOR 20 mg/ml,ACETYLCYSTEINUM,SIROP,20mg/ml,HEXAL AG - GERMANIA,"siguranta din PPJD a 200 ml sirop. o seringa din PP a 5 ml si lingurita dozatoare din PP cu gradatii de 2.5  ml. 5 ml si 10 ml - 2 ani-dupa ambalarea pentru comercializare;dupa
prima deschidere a flac.-15 zile",,,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC JUNIOR 20mg/ml,ACETYLCYSTEINUM,GRAN. PT. SOL. ORALA,20mg/ml,HEXAL AG - GERMANIA,"Cutie x 1 flac. x 30 g granule pt. 75 ml sol. orala + 1 lingurita dozatoare a 5
ml - 3 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACC JUNIOR 20mg/ml,ACETYLCYSTEINUM,GRAN. PT. SOL. ORALA,20mg/ml,HEXAL AG - GERMANIA,"Cutie x 1 flac. x 60 g granule pt. 150 ml sol. orala + 1 lingurita dozatoare a
5 ml - 3 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACESIL T,ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,FARMACOM SA - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 compr. - 2
ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ACETILCISTEINA,ACETYLCYSTEINUM,CAPS.,200mg,LAROPHARM S.R.L. - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 caps. - 3
ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
"ACETILCISTEINA DORNAFARM
100 mg",ACETYLCYSTEINUM,"PULB. PT. SOL.
ORALA",100mg,DORNA FARM SA - ROMANIA,"Cutie x 30 plicuri unidoza din hartie
cu PE/Al pulb. pt. sol. orala - 2 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
"ACETILCISTEINA DORNAFARM
200 mg",ACETYLCYSTEINUM,"PULB. PT. SOL.
ORALA",200mg,DORNA FARM SA - ROMANIA,"Cutie x 30 plicuri unidoza din hartie cu
PE/Al pulb. pt. sol. orala - 2 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
"ACETILCISTEINA LABORMED 200
mg",ACETYLCYSTEINUM,CAPS.,200mg,LABORMED PHARMA SA - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 caps. - 2
ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
"ACETILCISTEINA LABORMED 200
mg",ACETYLCYSTEINUM,CAPS.,200mg,LABORMED PHARMA SA - ROMANIA,"Cutie x 100 blist. Al/PVC x 10 caps. -
2 ani",OTC/S,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
ACICLOVIR 5%,ACICLOVIRUM,CREMA,5%,"EGIS PHARMACEUTICALS PLC -
UNGARIA",Cutie x 1 tub x 2 g crema - 5 ani,OTC,D06BB03,200 mg five times daily for 5-10 days,200 mg four times daily,Viral infections: herpes simplex virus.varicella-zoster virus
"ACID ACETILSALICILIC - RICHTER
100 mg",ACIDUM ACETYLSALICYLICUM,COMPR.,100mg,"GEDEON RICHTER ROMANIA S.A.
- ROMANIA",Cutie x 3 folii x 10 compr. - 2 ani,OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
"ACID ACETILSALICILIC - RICHTER
500 mg",ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,"GEDEON RICHTER ROMANIA S.A.
- ROMANIA","Cutie x 5 folii termosudate din
hartie/PE x 6 compr. - 2 ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ACID ACETILSALICILIC 500 mg,ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,SANOSAN S.R.L. - ROMANIA,"Cutie x 2 blist. PVC/Al x 10 compr. - 2
ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ACID ACETILSALICILIC 500 mg,ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,MAGISTRA C & C SRL - ROMANIA,"Cutie x 2 blist. Al/PVC x  10 compr. - 2
ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ACID ACETILSALICILIC 500 mg,ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,SANOSAN S.R.L. - ROMANIA,"Cutie x 60 blist. PVC/Al  x 10 compr. -
2 ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
"ACID ACETILSALICILIC BIOFARM
500mg",ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,BIOFARM S.A. - ROMANIA,"Cutie x 2 blist. PVC/Al x 10 compr. - 2
ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
"ACID ACETILSALICILIC
LABORMED 500 mg",ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,"LABORMED PHARMA SA -
ROMANIA","Cutie cu 2 blist. PVC-PVDC/Al x 10
compr. - 2 ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
"ACID ACETILSALICILIC MCC
TAMPONAT",ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,MAGISTRA C&C S.R.L. - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 compr. - 1
an",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ACID ACETILSALICILIC T,ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,SANTA SA - ROMANIA,"Cutie x 2 blist. PVC/Al x 10 compr. - 2
ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ACID ACETILSALICILIC T,ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,SANTA SA - ROMANIA,"Cutie x 60 blist. PVC/Al x 10 compr. -
2 ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
"ACID ACETILSALICILIC T
BIOFARM 500 mg",ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,BIOFARM S.A. - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 compr. - 2
ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ACID ACETILSALICILIC TAMPONAT SOLACIUM 500 mg,ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,SOLACIUM PHARMA S.R.L. - ROMANIA,"Cutie cu 2 blist. PVC/Al x 8 compr. - 1
an",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ACID ACETILSALICILIC TAMPONAT SOLACIUM 500 mg,ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,SOLACIUM PHARMA S.R.L. - ROMANIA,"Cutie cu 3 blist. PVC/Al x 8 compr. - 1
an",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
"ACID ACETILSALICILIC ZENTIVA
500 mg",ACIDUM ACETYLSALICYLICUM,COMPR.,500 mg,ZENTIVA S.A. - ROMANIA,"Cutie cu 2 blist. PVC/Al x 10 compr. -
3 ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
"ACID ACETILSALICILIC ZENTIVA
500 mg",ACIDUM ACETYLSALICYLICUM,COMPR.,500 mg,ZENTIVA S.A. - ROMANIA,"Cutie cu 2 blist. Al/PVC/ACLAR 3000
x 10 compr. - 3 ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ADAGIN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC opac/Al x 6 compr.
film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC opac/Al x 10
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC opac/Al x 12
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC opac/Al x 20
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC opac/Al x 24
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC transparent/Al x 6
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC transparent/Al x 10
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC transparent/Al x 12
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC transparent/Al x 20
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC transparent/Al x 24
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie x 1 flac. PE x 10 compr. film. - 3
ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie x 1 flac. PE x 20 compr. film. - 3
ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 400 mg,IBUPROFENUM,COMPR. FILM.,400mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC opac/Al x 6 compr.
film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 400 mg,IBUPROFENUM,COMPR. FILM.,400mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC opac/Al x 10
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 400 mg,IBUPROFENUM,COMPR. FILM.,400mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC opac/Al x 12
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 400 mg,IBUPROFENUM,COMPR. FILM.,400mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC transparent/Al x 6
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 400 mg,IBUPROFENUM,COMPR. FILM.,400mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC transparent/Al x 10
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 400 mg,IBUPROFENUM,COMPR. FILM.,400mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC transparent/Al x 12
compr. film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADAGIN 400 mg,IBUPROFENUM,COMPR. FILM.,400mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie x 1 flac. PE x 10 compr. film. - 3
ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADDITIVA VITAMIN C,ACIDUM ASCORBICUM,COMPR. EFF.,1000mg,"DR.B.SCHEFELER GMBH & CO
KG - GERMANIA","Cutie x 1 flac. din PP x 10 compr.
efervescente - 3 ani",OTC,A11GA01,500 mg to 1000 mg daily,25 mg to 75 mg daily,Dietary supplement.scurvy prevention.immune support
